quarter,id,freq
"(2005, 3)",11892,13
"(2005, 3)",599,11
"(2005, 3)",227,8
"(2005, 3)",707,7
"(2005, 3)",59,7
"(2005, 4)",11892,22
"(2005, 4)",227,21
"(2005, 4)",51,20
"(2005, 4)",225,16
"(2005, 4)",59,15
"(2006, 1)",1768,8
"(2006, 1)",2660,7
"(2006, 1)",618,7
"(2006, 1)",424,7
"(2006, 1)",5417,7
"(2006, 2)",51,15
"(2006, 2)",227,13
"(2006, 2)",72,12
"(2006, 2)",187,11
"(2006, 2)",966,10
"(2006, 3)",55,38
"(2006, 3)",289,31
"(2006, 3)",789,29
"(2006, 3)",800,28
"(2006, 3)",798,23
"(2006, 4)",217,32
"(2006, 4)",16875,31
"(2006, 4)",683,18
"(2006, 4)",67,18
"(2006, 4)",206,16
"(2007, 1)",316,24
"(2007, 1)",3763,22
"(2007, 1)",59,18
"(2007, 1)",182,16
"(2007, 1)",2044,16
"(2007, 2)",4118,45
"(2007, 2)",6836,26
"(2007, 2)",1098,24
"(2007, 2)",72,19
"(2007, 2)",5027,19
"(2007, 3)",14057,45
"(2007, 3)",72,42
"(2007, 3)",378,36
"(2007, 3)",2605,34
"(2007, 3)",1098,34
"(2007, 4)",154,62
"(2007, 4)",289,47
"(2007, 4)",227,34
"(2007, 4)",533,33
"(2007, 4)",59,32
"(2008, 1)",289,56
"(2008, 1)",8388,35
"(2008, 1)",56,29
"(2008, 1)",265,29
"(2008, 1)",441,27
"(2008, 2)",972,53
"(2008, 2)",1524,50
"(2008, 2)",293,49
"(2008, 2)",3501,47
"(2008, 2)",498,46
"(2008, 3)",1412,64
"(2008, 3)",289,55
"(2008, 3)",418,53
"(2008, 3)",51,51
"(2008, 3)",292,47
"(2008, 4)",72,71
"(2008, 4)",289,69
"(2008, 4)",190,49
"(2008, 4)",292,49
"(2008, 4)",89,42
"(2009, 1)",295,57
"(2009, 1)",234,46
"(2009, 1)",67,45
"(2009, 1)",227,42
"(2009, 1)",17613,38
"(2009, 2)",157,56
"(2009, 2)",72,50
"(2009, 2)",89,46
"(2009, 2)",15250,45
"(2009, 2)",1965,38
"(2009, 3)",67,73
"(2009, 3)",289,60
"(2009, 3)",190,56
"(2009, 3)",701,52
"(2009, 3)",157,51
"(2009, 4)",15675,88
"(2009, 4)",89,84
"(2009, 4)",190,59
"(2009, 4)",173,57
"(2009, 4)",72,53
"(2010, 1)",227,71
"(2010, 1)",190,64
"(2010, 1)",89,62
"(2010, 1)",163,57
"(2010, 1)",1098,55
"(2010, 2)",292,148
"(2010, 2)",89,106
"(2010, 2)",227,87
"(2010, 2)",289,69
"(2010, 2)",67,66
"(2010, 3)",292,117
"(2010, 3)",89,111
"(2010, 3)",288,107
"(2010, 3)",300,88
"(2010, 3)",289,80
"(2010, 4)",292,132
"(2010, 4)",89,127
"(2010, 4)",289,103
"(2010, 4)",288,93
"(2010, 4)",344,90
"(2011, 1)",289,103
"(2011, 1)",292,76
"(2011, 1)",300,65
"(2011, 1)",89,63
"(2011, 1)",67,63
"(2011, 2)",72,51
"(2011, 2)",289,31
"(2011, 2)",2548,30
"(2011, 2)",67,26
"(2011, 2)",55,26
